Date;4189 - Taxa de juros - Selic acumulada no mês anualizada base 252
mar/12;9.82
abr/12;9.35
mai/12;8.87
jun/12;8.39
jul/12;8.07
ago/12;7.85
set/12;7.39
out/12;7.23
nov/12;7.14
dez/12;7.16
jan/13;7.11
fev/13;7.12
mar/13;7.15
abr/13;7.26
mai/13;7.42
jun/13;7.90
jul/13;8.23
ago/13;8.45
set/13;8.90
out/13;9.25
nov/13;9.45
dez/13;9.90
jan/14;10.17
fev/14;10.43
mar/14;10.65
abr/14;10.87
mai/14;10.90
jun/14;10.90
jul/14;10.90
ago/14;10.90
set/14;10.90
out/14;10.92
nov/14;11.15
dez/14;11.58
jan/15;11.82
fev/15;12.15
mar/15;12.58
abr/15;12.68
mai/15;13.15
jun/15;13.58
jul/15;13.69
ago/15;14.15
set/15;14.15
out/15;14.15
nov/15;14.15
dez/15;14.15
jan/16;14.15
fev/16;14.15
mar/16;14.15
abr/16;14.15
mai/16;14.15
jun/16;14.15
jul/16;14.15
ago/16;14.15
set/16;14.15
out/16;14.05
nov/16;13.90
dez/16;13.65
jan/17;13.17
fev/17;12.82
mar/17;12.15
abr/17;11.59
mai/17;11.15
jun/17;10.15
jul/17;10.01
ago/17;9.15
set/17;8.35
out/17;8.01
nov/17;7.40
dez/17;7.00
jan/18;6.90
fev/18;6.72
mar/18;6.58
abr/18;6.40
mai/18;6.40
jun/18;6.40
jul/18;6.40
ago/18;6.40
set/18;6.40
out/18;6.40
nov/18;6.40
dez/18;6.40
jan/19;6.40
fev/19;6.40
mar/19;6.40
abr/19;6.40
mai/19;6.40
jun/19;6.40
jul/19;6.40
ago/19;5.90
set/19;5.71
out/19;5.38
nov/19;4.90
dez/19;4.59
jan/20;4.40
fev/20;4.19
mar/20;3.95
abr/20;3.65
mai/20;3.01
jun/20;2.58
jul/20;2.15
ago/20;1.94
set/20;1.90
out/20;1.90
nov/20;1.90
dez/20;1.90
jan/21;1.90
fev/21;1.90
mar/21;2.23
abr/21;2.65
mai/21;3.29
jun/21;3.76
jul/21;4.15
ago/21;5.01
set/21;5.43
out/21;6.30
nov/21;7.65
dez/21;8.76
jan/22;9.15
fev/22;10.49
mar/22;11.15
abr/22;11.65
mai/22;12.51
jun/22;12.89
jul/22;13.15
ago/22;13.58
set/22;13.65
out/22;13.65
nov/22;13.65
dez/22;13.65
jan/23;13.65
fev/23;13.65
mar/23;13.65
abr/23;13.65
mai/23;13.65
jun/23;13.65
jul/23;13.65
ago/23;13.19
set/23;12.97
out/23;12.65
nov/23;12.17
dez/23;11.87
jan/24;11.65
fev/24;11.15
mar/24;11.00
abr/24;10.65
mai/24;10.46
jun/24;10.40
jul/24;10.40
ago/24;10.40
set/24;10.50
out/24;10.65
nov/24;11.04
dez/24;11.77
jan/25;12.24
fev/25;13.15
mar/25;13.57
abr/25;14.15
mai/25;14.55
jun/25;14.74
jul/25;14.90
ago/25;14.90
Source;BCB-Demab
