Data;4466 - Índice nacional de preços ao consumidor-Amplo (IPCA) - Núcleo médias aparadas com suavização - Var. % mensal
03/2012;0,28
04/2012;0,51
05/2012;0,45
06/2012;0,39
07/2012;0,40
08/2012;0,50
09/2012;0,49
10/2012;0,54
11/2012;0,49
12/2012;0,56
01/2013;0,73
02/2013;0,53
03/2013;0,47
04/2013;0,53
05/2013;0,52
06/2013;0,36
07/2013;0,29
08/2013;0,42
09/2013;0,43
10/2013;0,58
11/2013;0,45
12/2013;0,58
01/2014;0,55
02/2014;0,51
03/2014;0,59
04/2014;0,56
05/2014;0,64
06/2014;0,56
07/2014;0,35
08/2014;0,40
09/2014;0,54
10/2014;0,51
11/2014;0,38
12/2014;0,49
01/2015;0,74
02/2015;0,77
03/2015;0,76
04/2015;0,72
05/2015;0,75
06/2015;0,72
07/2015;0,67
08/2015;0,56
09/2015;0,64
10/2015;0,66
11/2015;0,75
12/2015;0,79
01/2016;0,84
02/2016;0,73
03/2016;0,61
04/2016;0,67
05/2016;0,73
06/2016;0,59
07/2016;0,51
08/2016;0,55
09/2016;0,34
10/2016;0,40
11/2016;0,39
12/2016;0,37
01/2017;0,38
02/2017;0,26
03/2017;0,28
04/2017;0,34
05/2017;0,23
06/2017;0,28
07/2017;0,15
08/2017;0,26
09/2017;0,24
10/2017;0,34
11/2017;0,20
12/2017;0,46
01/2018;0,28
02/2018;0,25
03/2018;0,26
04/2018;0,21
05/2018;0,22
06/2018;0,42
07/2018;0,36
08/2018;0,31
09/2018;0,28
10/2018;0,26
11/2018;0,34
12/2018;0,38
01/2019;0,47
02/2019;0,20
03/2019;0,33
04/2019;0,37
05/2019;0,29
06/2019;0,20
07/2019;0,18
08/2019;0,23
09/2019;0,13
10/2019;0,18
11/2019;0,20
12/2019;0,39
01/2020;0,39
02/2020;0,25
03/2020;0,25
04/2020;0,10
05/2020;0,02
06/2020;0,14
07/2020;0,11
08/2020;0,13
09/2020;0,19
10/2020;0,34
11/2020;0,34
12/2020;0,39
01/2021;0,40
02/2021;0,38
03/2021;0,35
04/2021;0,40
05/2021;0,57
06/2021;0,58
07/2021;0,58
08/2021;0,68
09/2021;0,63
10/2021;0,84
11/2021;0,72
12/2021;0,89
01/2022;1,06
02/2022;0,94
03/2022;1,04
04/2022;1,01
05/2022;0,98
06/2022;0,97
07/2022;0,62
08/2022;0,64
09/2022;0,39
10/2022;0,46
11/2022;0,38
12/2022;0,49
01/2023;0,49
02/2023;0,48
03/2023;0,36
04/2023;0,50
05/2023;0,49
06/2023;0,11
07/2023;0,22
08/2023;0,33
09/2023;0,30
10/2023;0,31
11/2023;0,37
12/2023;0,47
01/2024;0,51
02/2024;0,42
03/2024;0,24
04/2024;0,30
05/2024;0,40
06/2024;0,28
07/2024;0,39
08/2024;0,30
09/2024;0,33
10/2024;0,45
11/2024;0,35
12/2024;0,45
01/2025;0,62
02/2025;0,43
03/2025;0,47
04/2025;0,49
05/2025;0,38
06/2025;0,38
07/2025;0,27
08/2025;0,30
Fonte;BCB-Depec
