Data;;Taxa de desemprego (desocupação);
mar/12;;8;
abr/12;;7.8;
mai/12;;7.7;
jun/12;;7.6;
jul/12;;7.5;
ago/12;;7.3;
set/12;;7.1;
out/12;;6.9;
nov/12;;6.8;
dez/12;;6.9;
jan/13;;7.2;
fev/13;;7.8;
mar/13;;8;
abr/13;;7.9;
mai/13;;7.6;
jun/13;;7.5;
jul/13;;7.4;
ago/13;;7.2;
set/13;;7;
out/13;;6.8;
nov/13;;6.5;
dez/13;;6.2;
jan/14;;6.5;
fev/14;;6.8;
mar/14;;7.2;
abr/14;;7.2;
mai/14;;7;
jun/14;;6.9;
jul/14;;7;
ago/14;;7;
set/14;;6.8;
out/14;;6.7;
nov/14;;6.6;
dez/14;;6.6;
jan/15;;6.9;
fev/15;;7.5;
mar/15;;8;
abr/15;;8.1;
mai/15;;8.2;
jun/15;;8.4;
jul/15;;8.6;
ago/15;;8.8;
set/15;;9;
out/15;;9.1;
nov/15;;9.1;
dez/15;;9.1;
jan/16;;9.6;
fev/16;;10.3;
mar/16;;11;
abr/16;;11.3;
mai/16;;11.3;
jun/16;;11.4;
jul/16;;11.7;
ago/16;;11.9;
set/16;;11.9;
out/16;;11.9;
nov/16;;12;
dez/16;;12.1;
jan/17;;12.7;
fev/17;;13.3;
mar/17;;13.9;
abr/17;;13.7;
mai/17;;13.4;
jun/17;;13.1;
jul/17;;12.9;
ago/17;;12.7;
set/17;;12.5;
out/17;;12.3;
nov/17;;12.1;
dez/17;;11.9;
jan/18;;12.3;
fev/18;;12.7;
mar/18;;13.2;
abr/18;;13;
mai/18;;12.8;
jun/18;;12.6;
jul/18;;12.4;
ago/18;;12.2;
set/18;;12;
out/18;;11.8;
nov/18;;11.7;
dez/18;;11.7;
jan/19;;12.2;
fev/19;;12.5;
mar/19;;12.8;
abr/19;;12.6;
mai/19;;12.4;
jun/19;;12.1;
jul/19;;11.9;
ago/19;;11.9;
set/19;;11.9;
out/19;;11.7;
nov/19;;11.3;
dez/19;;11.1;
jan/20;;11.3;
fev/20;;11.7;
mar/20;;12.4;
abr/20;;12.7;
mai/20;;13.1;
jun/20;;13.6;
jul/20;;14.1;
ago/20;;14.8;
set/20;;14.9;
out/20;;14.6;
nov/20;;14.3;
dez/20;;14.2;
jan/21;;14.4;
fev/21;;14.6;
mar/21;;14.9;
abr/21;;14.8;
mai/21;;14.7;
jun/21;;14.2;
jul/21;;13.7;
ago/21;;13.2;
set/21;;12.7;
out/21;;12.1;
nov/21;;11.6;
dez/21;;11.1;
jan/22;;11.2;
fev/22;;11.2;
mar/22;;11.1;
abr/22;;10.5;
mai/22;;9.8;
jun/22;;9.3;
jul/22;;9.1;
ago/22;;8.9;
set/22;;8.7;
out/22;;8.3;
nov/22;;8.1;
dez/22;;7.9;
jan/23;;8.4;
fev/23;;8.6;
mar/23;;8.8;
abr/23;;8.5;
mai/23;;8.3;
jun/23;;8;
jul/23;;7.9;
ago/23;;7.8;
set/23;;7.7;
out/23;;7.6;
nov/23;;7.5;
dez/23;;7.4;
jan/24;;7.6;
fev/24;;7.8;
mar/24;;7.9;
abr/24;;7.5;
mai/24;;7.1;
jun/24;;6.9;
jul/24;;6.8;
ago/24;;6.6;
set/24;;6.4;
out/24;;6.2;
nov/24;;6.1;
dez/24;;6.2;
jan/25;;6.5;
fev/25;;6.8;
mar/25;;7;
abr/25;;6.6;
mai/25;;6.2;
jun/25;;5.8;
jul/25;;5.6;
ago/25;;5.6;
